,hoard_id,name,startDate,endDate,type_find,hoard?,excavation?,single?,num_coins,num_known_coins,num_unknown_coins,year_found,year_end_found,comments,lat,long,certainty,owner,created,imported
10,1549,PAS: Cople 27,395.0,402.0,EG_IARCH,hoard,,,18.0,18,0,2004.0,2004.0,"""Treasure Annual Report 2004 (2004 T132: 2 solidi and 5 siliquae) and 2005 (2005 T39: additional 10 siliquae). `Found by Mr Michael Peach while searching with a metal detector on ploughed arable land at Middle Farm, Cople, Bedfordshire in March and Sept-Dec 2004.' Report by Richard Abdy, forthcoming. Bedfordshire HER 6661 records: `The Bedfordshire Times of 4th August 1899, p. 3, reported that ""the vicar of Willington possesses a remarkably well-preserved gold coin, of Honorius, found in a field by a woman of the village"".' This coin is presumably to be asssociated with the hoard found in 2004 and 2005. 3 solidi of Honorius and 15 siliquae (Valens, 1; Gratian, 1; Theodosius, 1; Eugenius, 1; Arcadius, 4; Honorius, 2; Arcadius/Honorius, 3; uncertain, 1; irregular, 1; latest coins: 394-402). 10 additional siliquae in 2005 addenda. AD 394-402 (2)1.-2. Honorius, rev.: VICTORI-A AVGGG, VICTOR-IA AVGGG, Victory stg. r., M D//COMOB, Mint of Milan, RIC IX Milan 35(c) = RIC 1206, 4.43g and 4.48g.AD 393-423 (1)3. Honorius, no further details."" Bland and Loriot 14.Treasure numbers associated with this hoard: 2004 T132; 2005 T039",52.123525996310384,-0.36910315401258065,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
11,2032,PAS: Amersham 38,364.0,378.0,EG_IARCH,hoard,,,1500.0,7,1493,1984.0,1994.0,"R. Bland examined 7 out of 1500 nummi to 378. This hoard was thought very likely to be the same as the 'Kings Langley' hoard (hoard number 935) bought in good faith by the Roemisch-Germanisches Zentralmuseum in Mainz. However there is an element of doubt related to discrepancies in the date of discovery and the similarity of the containers. The discovery of the Amersham hoard was reported in ""Take a Break"" magazine along with photographs and was subsequently sold to a dealer without being examined.",51.66376015758505,-0.6278552170295716,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
12,2081,PAS: Aylesbury 39,383.0,388.0,EG_IARCH,hoard,,,2.0,2,0,1979.0,1979.0,"Robertson 2000, 359 no. 1477: """"Two gold solidi were found during construction work in October 1979 in a bank of soil protecting a new housing estate at Haydon Hill, Aylesbury, from flooding. They were found about 1 metre down in soil which could have come from almost anywhere on the housing estate.The estate is on the line of Akeman Street, and there is some archaeological evidence for two small roadside settlements in the area.The two coins were both struck at the mint of Trier by Magnus Maximus (383-88), one in his own name and one in the name of Theodosius. As they are both in very good condition, we might date their deposition to about AD 390.The coin of Theodosius has been acquired by the British Museum [BM Register of Coin Accessions, March 1980], that of Maximus was sold at Sotheby's (15 July 1980, lot 196A).""A.M. Burnett and M.E. Farley, in CHRB II, BM Occas. Paper 31 (1981) 107, types, mints, wts.Cp. Records of Bucks., 21 (1980), 131.""",51.82705742647579,-0.8463698776178478,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
13,2031,PAS: Aylesbury 40,364.0,375.0,EG_IARCH,hoard,,,453.0,451,2,1937.0,1939.0,"Robertson 2000, 354 no. 1455:""""About three year ago a gentleman, shall we say Mr. X? was chatting to a friend on the latter's farm near Aylesbury, when a farm lad came up and showed his master a bucket more than half full of Roman coins which he had found. The farmer told him that they were no good and were to be thrown away. Mr. X, however, was interested and put a random handful into his pocket. He afterwards gave them to Mr. F. Gilbert Smith of Rhyl who has courteously permitted me to examine them."" Then followed a list of 36 small AE coins, from Constantius II to Valentinian II.B.W. Pearce, in NC, 1941, 95f., types, mintsIn letters, April and July 1959, Professor D. Atkinson wrote as follows about a find of coins which must have been the same as the above: ""A short time ago I was shown and lent part of a hoard of coins of which I have made a list. All but a few are between 364 and 375 - none apparently 375-8. Those I have seen number 417, but the hoard was probably a good deal larger and the rest have been dispersed.The coins were found by a boy in a ploughed field at Pertlow Farm, Aylesbury..This part of the hoard came into the possession of Mr. S. Jacques of Coln St. Aldwyn, Glos., who has lent it to me.From his account of the find it seems likely that the part listed is not more than half of the total found and he does not know what has become of the rest. But I think it may be regarded as a reasonable sample since the coins were certainly mixed up a good deal after the finding. It seems to me to be interesting for two matters (1) the absence of any coins of 375-378, and (2) the fact that none of the coins are clipped to a smaller size. This perhaps suggests that clipping began only with series 388-395.""Professor Atkinson's list (with types, mints) comprised 1 ant. and 416 AE. His list, Mr. Pearce's list of 36 small AE, are:B.W. Pearce Prof. Atkinson TOTALAE Ant. AE Ant. AEClaudius II 1 1Constantine II, Caes. 1 1Constantinopolis 2 2reign of Constantine I - 1 1Constantius II, Aug. 2 15 17Constans, Aug. 5 5Constantius II, or Constans, Aug. 1 1Magnentius 1 1Magnentius or Decentius 1 1Valentinian I 3 148 151Valens 20 151 171Gratian 8 80 88Valentinian II 1 1House of Valentinian I 1 410 11uncertain 1 - 136 1 416 1 452(GLORIA EXERCITVS, 2 stand.)(5 b. FEL TEMP REPARATIO, falling horseman, 1 overstruck)(GLORIA EXERCITVS, 1 stand.)(5 b.)""",51.828181696606286,-0.8695592202632472,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
14,2037,PAS: Southsea 43,361.0,363.0,EG_IARCH,hoard,,,926.0,926,0,1897.0,1897.0,"Robertson 2000, 335 no. 1368:""""About 30 years ago, in a field near Lumps Lane, Southsea, some workmen who were digging clay turned up a number of fragments of Roman pottery, and one vase or urn was recovered entire. This same field lately came into the possession of Mr. Harry A. Evans whose workmen also discovered several fragments, and one of them had the good fortune to unearth a jar filled with silver coins to the number of about a thousand. They included a few of the reigns of Trajan, Antoninus Pius and Marcus Aurelius, but the majority belonged to the middle of the fourth century.""W. Gates, Ill. Hist. of Portsmouth (1900), 18: ref. supplied, 1936, by G. Askew)The coins were examined by H.A. Grueber, and 36 of them were presented by H.M. Treasury to the Dept. of Coins and Medals, BM. Mr. Evans retained the remainder, save for 63 others presented, with the pot, to Portsmouth Museum.Dr. J. Allan pointed out that the date when the hoard was discovered was 1897, and gave a descriptive list of 926 coins, taken from a manuscript list by Grueber.NC, 1936, 292-302, types, mintsP. Ker Gray gave the exact location of the discovery as ""in what is now a garden enclosed by Eastern Parade, St. George's Road, and Selsey Avenue, Eastney"". In 1958 he examined 51 coins then in the possession of Mr. E. Rogers, Denmead, son-in-law of Mr. Norton, an employee of the late Mr. H.A. Evans and the actual finder of the hoard. Of these 51 coins, 38 repeat types listed by Dr. J. Allan, but 13 do not. These 13 at least are presumably additions to the 926 coins listed by Dr. Allan.NC, 1959, 89-91, types, mints, wts., pl. VII of coinsThe two lists, of 926 coins, and of 13 coins - den., mil., and sil. (with possibly some half-sil.) -, and their totals, are:H.A. Grueber's list P.K. Gray's list TOTAL 0Den. Mil. Sil. Mil. Sil. Den. Mil Sil. 0Trajan 2 2 02Antoninus Pius 2 2 02Faustina I (deified) 1 1 01Marcus 1 1 01Diocletian 1 1 01Constantine I 1 1 1 2 1 03Crispus 1 1 01Constantine II, Caes. 1 1 01Constantius II, Aug. 43 360 1 44 360 0404Constans, Aug. 4 24 2 3 6 27 033Magnentius 2 2 1 3 2 05Decentius 2 1 1 2 03Constantius Gallus 3 1 1 3 2 05Julian II, Caes. 1 69 1 2 69 071Julian II, Aug. 5 400 1 5 401 0406RULE 0RULE6 60 860 8 5 6 68 865 0939Total: 926 Total: 13 Total: 939 0RULE 0RULE(1 b.)(1 b.)(mule)(b.?)(1 b.) A sil. Attributed to Constantine II, Aug., in NC, 1936, 292-302, has been re-assigned to Constantine I. A mil. Attributed to Constantine II, Aug., in NC, 1959, 89-91, has been re-assigned to Constantine I. The irregular coin of Julian II, Aug. (wt. 25 grs.) had obv. FL CL IVLIANVS P P AVG, and rev. VICTORI AONVM [SIS].Cathy E. King, in BNJ, 51 (1981), 15, gave the numbers as 77 mil., 811 sil., and 6 den of C2.By 1938, there were only 56 coins from the hoard remaining in Portsmouth Museum, along with the pot, a one-handled jug of hard grey-brown ware with the bottom missing. The surviving portion was 7 1/2 in. high and 6 1/4 in. wide. The coins have since been lost during the air raids of the 1939-45 War.Examined, and pot drawn, 1938 (ASR)In addition to the 36 coins originally acquired by the Dept. of Coins and Medals, BM (BM Register of Coin Accessions, July 1897), there are now 9 others (7 mil., 2 sil.) presented by Mr. Rogers (BM Register of Coin Accessions, March 1959). The other coins in his possession, 42, he presented to Cumberland House Museum, Southsea, Portsmouth.There were 5 other sil. From this hoard (Constantius II, Aug. 3; Julian II, Aug. 2) in Carisbrooke Castle Museum, IOW, out of 6 presented by A.H. Baldwin before 1952.Examined, 1960 (ASR)""",50.78293129524,-1.0619064533085922,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
15,1380,PAS: Milton Keynes 49,353.0,355.0,EG_IARCH,hoard,,,1458.0,1458,0,2006.0,2006.0,"1456 nummi to 355 and pottery. 2012 find of nummus of Valens, 364-78 thought not to be an addendum.Treasure numbers associated with this hoard: 2006 T631; 2012 T836Other PAS records associated with this hoard: PAS-355605",52.16578824958955,-0.6441952546318935,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
16,2020,PAS: East Llangan 52,364.0,378.0,EG_IARCH,hoard,,,6.0,6,0,1800.0,1800.0,"Robertson 2000, 342 no. 1404:""""The following coins, which are said to have been discovered in the camp on the farm of Hafod are in the possession of Dr. Vaughan Bowen Jones, Llanboidy. More specific details are wanting. They are not sufficiently homogeneous to have formed part of a hoard, and there may be some mistake as to their source.""Den. Ant. AERepublic 1Nero 1Gallienus 1Constantine I 1Valens 1Valens or Valentinian I 11 1 4(Alexandria)RCHM Carmarthenshire (1917), 153, no. 449; ibid., 150, no. 445, gave the date of discovery as about 1800, and noted that the camp on Hafod Farm was a promontory fort.""",51.87252786261328,-4.589948152105863,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
17,289,"PAS: Enfield, Lincoln Road II 53",330.0,335.0,AC_Excavated,hoard,excav,,326.0,251,75,1975.0,1976.0,"During excavs by Inner London Archaeological Unit, a hoard of 326 coins, found assoc. with remains of very large grey pot. Report says this seems unlikely container for so few coins, but they were not always full! Many coins oxidised & did not survive cleaning. The 250 survivors, many in poor condition, probably over-represent the larger types earlier than AD 330. J.P.C. Kent. 1977. CH 3: 66.  During the cutting of the contractors' trenches, several fragments of a large grey pot were observed in the section. Subsequent excavation revealed a pot, sealed by a layer of daub, & containing a 4th century hoard of some 326 coins. Gentry, A., Ivens, J. & McClean, H. 1977. Trans. London & Middlesex Arch. Soc. 28: 168f. The 247 surviving coins were 2 ant. (of Tetricus) and 245 AE.",51.64577461214546,-0.0634897994927918,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
18,230,PAS: Bancroft/Bradwell Roman Villa 60,337.0,341.0,AC_Excavated,hoard,excav,,76.0,76,0,1978.0,1978.0,"In 1978 excavs at Bancroft Roman villa, small hoard of 76 folles of AD 330s recovered. The coins not in or near a container & it is possible they were stored in a bag which has since perished. Unfortunately the hoard cannot be assoc. with any particular architectural feature – they were simply lying on the ground when found. The small size of find suggests it was property of an individual who may have been using them as 'current coin', a suggestion supported by high percentage of imitations. Cathy E. King, in CH VI (1981), 36, no. 175; & 40-49. Pastscape: M.J. Green & S.H. Green co-directed site in 1974. Partly excav. after mosaics found.",52.05492346070597,-0.795298066291677,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
19,1884,PAS: Buckinghamshire 65,335.0,341.0,EG_IARCH,hoard,,,30.0,29,1,1990.0,1990.0,"30 nummi to AD 341. Unknown findspot, reported to Ashmolean Museum.",51.8171093219675,-0.810659234798052,lower,PAS UK Finds,,2017-08-28 08:25:10.122193
20,2059,PAS: West Wycombe II 68,350.0,353.0,EG_IARCH,hoard,,,31.0,32,-1,2005.0,2005.0,"31 nummi to Magnentius. TAR 2005-6, 1123; NC 2006, 27Treasure numbers associated with this hoard: 2005 T043",51.64878452772029,-0.8131751941552704,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
21,232,PAS: Bourn Airfield 75,346.0,348.0,AC_Excavated,hoard,excav,,15.0,15,0,2005.0,2005.0,"15 nummi to AD 348, found by Albion Archaeol. during excav. of R-B rural settlement. …coins recovered from fill of boundary ditch enclosing settlement. A post-med ditch adjacent to RB ditch contained 4 further coins, poss. originally from same hoard – 3 3rd century radiates, & another coin from AD 330s. Perhaps originally in a cloth or leather bag.  Abrams, J. & Ingram, D. 2008. Farming on the Edge: Archaeological Evidence from the Clay Uplands to the West of Cambridge. Albion Archaeology: EAA Report 123, pp. 84.",52.22088808159956,-0.035844643776057894,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
22,329,PAS: Cambridge 77,355.0,361.0,AC_Excavated,hoard,excav,,17.0,17,0,1953.0,,"Arbury Road, Cambridge, during excav. of a small 4th C building in a R-B settlement site. Found in L-shaped building of 4th century date containing a well. …""a small hoard of 17 bronze coins, half a bronze ring, and a bead of green clay composition were found, had been in a small iron-bound box, frags of 3 coins found embedded in corroded iron of one side and corner. group was 2 ft. 10 in. below surface, embedded in layer of clay 2 in. thick which overlay chalk foundations of S wall of building, scattered over area c 9 in. square. Section in rubble above hoard showed no sign of a break, and chalk foundations of an outside wall do not offer much scope for concealment. It is possible that it was lost when building was in use, though we could not establish whether clay deposit was contemporary with it, or an accumulation subsequent to destruction. bronze finger ring was 3/8 in. in diam., and the surviving part of it showed traces of incised dots and vertical lines. W.H.C. Frend, in Proc. Cambs. Ant. Soc., XLVIII (1954-5), 15, The frag. of ring, small bead & 14 of 17 coins in Camb. Uni Museum of Archaeol & Anthropol.",52.22655745582905,0.12327603602642977,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
23,2021,PAS: Romsey Town (Greville Road) 78,364.0,378.0,EG_IARCH,hoard,,,18.0,18,0,1919.0,,"Robertson 2000, 344 no. 1408: """"Some time ago I was able to acquire a small hoard of Roman coins which is reputed to have been found about 1919 in the area of the present day Greville Road in Romsey Town, Cambridge, and is believed to be complete as when discovered.With one exception the 18 coins of which the hoard consists are of the period Crispus to Gratian.A single irregular radiate coin is the exception in the hoard to the coins of the normal Roman series. This is obviously copied from an antoninianus of either Tetricus I or Tetricus II as the letters ET are clearly visible at the 2 o'clock position on the obverse.The portrait appears to be bearded and therefore copied from Tetricus I, but this is not certain.In general the condition of the coins in the hoard is poor to fair, those of Gratian, in the main, showing the least wear as can be expected.""The 18 coins, 1 ant. and 17 AE, were:Ant. AETetricus I or II 1Crispus 1Constantius II, Aug. 1Valentinian I 3Valens 6Gratian 5uncertain 11 17(b.)(GLORIA ROMANORVM)K.A. Jacob, in SCMB, Jan. 1984, 3f., types, mints""",52.19191589024447,0.1345002499518849,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
24,1141,PAS: Chippenham 84,388.0,395.0,EG_IARCH,hoard,,,10.0,10,0,1997.0,1998.0,10 silver siliquae. Unclipped or CF1.,52.287717409291446,0.4476170886176638,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
25,1564,PAS: Cottenham 87,395.0,402.0,EG_IARCH,hoard,,,3.0,3,0,2005.0,,3 siliquae to 402Treasure numbers associated with this hoard: 2005 T524Other PAS records associated with this hoard: CAM-B465C8; CAM-B42086; CAM-B3E506,52.30984528146126,0.1269665150865039,highest,PAS UK Finds,,2017-08-28 08:25:10.122193
