hoard_id,PAS_unique_hoard_id,name,startDate,endDate,hoard?,excavation?,single?,num_coins,year_found,year_end_found,comments,lat,long,certainty,owner,created,imported,updated,Tag_IDs,references
22,IARCH-398297,PAS: Bedford Area 22,,,hoard,,,84,2005.0,2005.0,"84 nummi to 356. TAR 2005-6, 1126.Treasure numbers associated with this hoard: 2005 T143",52.194309999999994,-0.4169,highest,PAS UK Finds,1/13/2015 11:57,35:57.0,2/9/2015 14:37,,"British Museum, 2008    Treasure Annual"
24,IARCH-A73C8C,PAS: Kempston 24,,,hoard,,,13,1978.0,1978.0,"Robertson 2000, 368 no. 1513:""""On 27 August 1978 a small hoard of thirteen Roman silver coins of the late fourth century was found in a copse at the edge of a road leading to Kempston Church..<br />Despite the small quantity of coins and the absence of any container (it may have been of leather or cloth which had perished), the coins form a coherent group which appears to have been a hoard. Most finds of late Roman silver consist primarily of siliquae with the addition of a small number of miliarenses, but the present find of eleven miliarenses and only two siliquae is unusual.""<br />The list of 11 mil. and 2 sil. was given according to mints.<br />R.A.G. Carson, in CHRB I, BM Occas. Paper 5 (1979), 105, types, mints, wts.<br />The 11 mil. and 2 sil. have been rearranged according to emperors:<br />Mil. Sil. TOTAL<br />Valens 3 3<br />Gratian 4 4<br />Valentinian II 4 4<br />Arcadius 1 1<br />Honorius 1 1<br /><br />11 2 13<br />1 mil. of Valentinian II, mint Siscia, in Dept. of Coins and Medals, BM (BM Register of Coin Accessions, Sept. 1979)<br />1 mil. of Valens, mint Trier, in Bedford Museum."" ******* Images in BM",52.1201,-0.5189,highest,PAS UK Finds,1/13/2015 11:57,35:58.4,9/2/2015 14:25,,"Carson, R.A.G., 1979    The Kempston Treasure Trove (1978)    London:
   Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   368 no. 1513"
25,IARCH-215399,PAS: Kempston 25,,,hoard,,,53,1976.0,1976.0,"Robertson 2000, 357-8 no. 1470:""""On 27 October 1976 two workmen found a small hoard of Roman fourth century silver siliquae in a trench on a building site at Hillgrounds, Kempston, Bedfordshire. The coins were found closely grouped together, but there was no trace of a container. A coroner's inquest declared the find to be a treasure trove. The hoard includes coins from Constantius II to Magnus Maximus, covering the period from about AD 360 to 388.""<br />Then came a list of the 53 sil. according to mints.<br />R.A.G. Carson, in CHRB I, BM Occas. Paper 5 (1979), 103f., types, mints, wts.<br />The 53 sil. have been rearranged according to emperors:<br />Sil.<br />Constantius II 2<br />Julian II, Caes. 1<br />Julian II, Aug. 11<br />Valentinian I 2<br />Valens 16<br />Gratian 8<br />Valentinian II 3<br />Theodosius I 4<br />Magnus Maximus 6<br /><br />53<br />(1 b.)<br />3 sil. of Julian II, Aug. (b.), Gratian and Valentinian II, in Dept. of Coins and Medals, BM (BM Register of Coin Accessions, March 1977)<br />50 sil. in Bedford Museum. "" ******* Images at BM",52.12258,-0.5013,highest,PAS UK Finds,1/13/2015 11:57,35:59.0,9/2/2015 14:26,,"Carson, R.A.G., 1979    The Kempston Treasure Trove (1976)    London:
   Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   357-8 no. 1470"
27,IARCH-241E4A,PAS: Cople 27,,,hoard,,,18,2004.0,2004.0,"""Treasure Annual Report 2004 (2004 T132: 2 solidi and 5 siliquae) and 2005 (2005 T39: additional 10 siliquae). `Found by Mr Michael Peach while searching with a metal detector on ploughed arable land at Middle Farm, Cople, Bedfordshire in March and Sept-Dec 2004.' Report by Richard Abdy, forthcoming. Bedfordshire HER 6661 records: `The Bedfordshire Times of 4th August 1899, p. 3, reported that ""the vicar of Willington possesses a remarkably well-preserved gold coin, of Honorius, found in a field by a woman of the village"".' This coin is presumably to be asssociated with the hoard found in 2004 and 2005. 3 solidi of Honorius and 15 siliquae (Valens, 1; Gratian, 1; Theodosius, 1; Eugenius, 1; Arcadius, 4; Honorius, 2; Arcadius/Honorius, 3; uncertain, 1; irregular, 1; latest coins: 394-402). 10 additional siliquae in 2005 addenda. AD 394-402 (2)<br />1.-2. Honorius, rev.: VICTORI-A AVGGG, VICTOR-IA AVGGG, Victory stg. r., M D//COMOB, Mint of Milan, RIC IX Milan 35(c) = RIC 1206, 4.43g and 4.48g.<br />AD 393-423 (1)<br />3. Honorius, no further details."" Bland and Loriot 14.Treasure numbers associated with this hoard: 2004 T132; 2005 T039 ******* TAR 2004, 453; TAR 2005-6, 1134; NC 2005, 49",52.12352,-0.3691,highest,PAS UK Finds,1/13/2015 11:57,36:00.4,2/9/2015 15:46,,", 2004    Treasure Annual"
30,IARCH-4DAD73,PAS: North Bierley 30,,,hoard,,,,1700.0,1714.0,"Robertson 2000, <span>252 no. 1049:</span><span>""</span>""That Iron was made in this Neighbourhood in the time of the Romans a late discovery has sufficiently convinced me. Upon removing a heap of Cinders to repair the High-Ways withal, a good Quantity of Copper Roman Coyns were discovered, some of which I have now in my possession. These were of Constantine, Constantius, Diocletian, and of the Usurper Carausius. This Country abounds with such heaps of Cinders, though we have not so much as any Tradition that ever Iron was made there.""<br />-Dr. Richardson, of Bierley, in T. Hearne's edition of J. Leland, Itinerary (1714), I, 144<br />-The coins of Carausius were probably ant."" ******* A general reference, possibly a duplication of <span>Robertson 2000, 232 no. 946? Date uncertain. </span>",53.75714,-1.7739,highest,PAS UK Finds,1/13/2015 11:57,36:02.5,8/6/2015 9:01,,"Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   252 no. 1049"
38,IARCH-765889,PAS: Amersham 38,,,hoard,,,1500,1984.0,1994.0,"R. Bland examined 7 out of 1500 nummi to 378. This hoard was thought very likely to be the same as the 'Kings Langley' hoard (hoard number 935) bought in good faith by the Roemisch-Germanisches Zentralmuseum in Mainz. However there is an element of doubt related to discrepancies in the date of discovery and the similarity of the containers. The discovery of the Amersham hoard was reported in ""Take a Break"" magazine along with photographs and was subsequently sold to a dealer without being examined. ******* Originally c. 1400 to 1500 coins. There are some points of concern in matching this discovery to the Kings Langley hoard, although the ""Take A Break"" article should not necessarily be seen as an accurate account. The images associated appear at first glance to be of larger coins - it is possible that the finder did not make coins from this hoard available for study as stated. However, the pottery does look similar from the poor quality photo of the Amersham pot available, despite comments by J. Chameroy (Chameroy 2009, 316 note 4 mistakes the depth of the pot for the depth of the find below ground level). The finder writes in 1994 that this hoard was found ""about ten years ago"", and so the 1986 find date is not certain (contra J. Chameroy).",51.663759999999996,-0.6278,highest,PAS UK Finds,1/13/2015 11:57,36:08.8,7/22/2015 14:51,,"Bland, R., 1997    Amersham, Buckinghamshire    London:
   Fry, V., 1994    Martin, we were time travellers"
39,IARCH-BD5723,PAS: Aylesbury 39,,,hoard,,,2,1979.0,1979.0,"Robertson 2000, 359 no. 1477: """"Two gold solidi were found during construction work in October 1979 in a bank of soil protecting a new housing estate at Haydon Hill, Aylesbury, from flooding. They were found about 1 metre down in soil which could have come from almost anywhere on the housing estate.<br />The estate is on the line of Akeman Street, and there is some archaeological evidence for two small roadside settlements in the area.<br />The two coins were both struck at the mint of Trier by Magnus Maximus (383-88), one in his own name and one in the name of Theodosius. As they are both in very good condition, we might date their deposition to about AD 390.<br />The coin of Theodosius has been acquired by the British Museum [BM Register of Coin Accessions, March 1980], that of Maximus was sold at Sotheby's (15 July 1980, lot 196A).""<br />A.M. Burnett and M.E. Farley, in CHRB II, BM Occas. Paper 31 (1981) 107, types, mints, wts.<br />Cp. Records of Bucks., 21 (1980), 131."" ******* Images in BM file",51.82705,-0.8463,highest,PAS UK Finds,1/13/2015 11:57,36:09.5,4/17/2015 15:13,,"Bland, R. and Loriot, X., 2010    Roman and Early Byzantine Gold Coins found in Britain and Ireland    London:  Royal Numismatic Society 117-8 no. 31
Burnett, A.M. and Farley, M.E., 1981    Aylesbury Treasure Trove (1979)    London:
   Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   359 no. 1477"
40,IARCH-706829,PAS: Aylesbury 40,,,hoard,,,453,1937.0,1939.0,"Robertson 2000, 354 no. 1455:""""About three year ago a gentleman, shall we say Mr. X? was chatting to a friend on the latter's farm near Aylesbury, when a farm lad came up and showed his master a bucket more than half full of Roman coins which he had found. The farmer told him that they were no good and were to be thrown away. Mr. X, however, was interested and put a random handful into his pocket. He afterwards gave them to Mr. F. Gilbert Smith of Rhyl who has courteously permitted me to examine them."" Then followed a list of 36 small AE coins, from Constantius II to Valentinian II.<br />B.W. Pearce, in NC, 1941, 95f., types, mints<br />In letters, April and July 1959, Professor D. Atkinson wrote as follows about a find of coins which must have been the same as the above: ""A short time ago I was shown and lent part of a hoard of coins of which I have made a list. All but a few are between 364 and 375 - none apparently 375-8. Those I have seen number 417, but the hoard was probably a good deal larger and the rest have been dispersed.<br />The coins were found by a boy in a ploughed field at Pertlow Farm, Aylesbury..<br />This part of the hoard came into the possession of Mr. S. Jacques of Coln St. Aldwyn, Glos., who has lent it to me.<br />From his account of the find it seems likely that the part listed is not more than half of the total found and he does not know what has become of the rest. But I think it may be regarded as a reasonable sample since the coins were certainly mixed up a good deal after the finding. It seems to me to be interesting for two matters (1) the absence of any coins of 375-378, and (2) the fact that none of the coins are clipped to a smaller size. This perhaps suggests that clipping began only with series 388-395.""<br />Professor Atkinson's list (with types, mints) comprised 1 ant. and 416 AE. His list, Mr. Pearce's list of 36 small AE, are:<br />B.W. Pearce Prof. Atkinson TOTAL<br />AE Ant. AE Ant. AE<br />Claudius II 1 1<br />Constantine II, Caes. 1 1<br />Constantinopolis 2 2<br />reign of Constantine I - 1 1<br />Constantius II, Aug. 2 15 17<br />Constans, Aug. 5 5<br />Constantius II, or Constans, Aug. 1 1<br />Magnentius 1 1<br />Magnentius or Decentius 1 1<br />Valentinian I 3 148 151<br />Valens 20 151 171<br />Gratian 8 80 88<br />Valentinian II 1 1<br />House of Valentinian I 1 410 11<br />uncertain 1 - 1<br /><br />36 1 416 1 452<br />(GLORIA EXERCITVS, 2 stand.)<br />(5 b. FEL TEMP REPARATIO, falling horseman, 1 overstruck)<br />(GLORIA EXERCITVS, 1 stand.)<br />(5 b.)"" ******* Latest coin recorded as Valentinian II SECVRITAS REIPVBLICAEThis may be the same find as HER <span>0065600002, though this is a verbal report made in 1973 of a find of ""an urn of Roman coins"" by a former tenant of a farm </span>",51.828179999999996,-0.8695,highest,PAS UK Finds,1/13/2015 11:57,36:10.1,7/22/2015 15:57,,"Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   354 no. 1455"
43,IARCH-42BD03,PAS: Fenny Stratford 43,,,hoard,excav,,650,1962.0,1962.0,"Robertson 2000, 308-309 no. 1272:""""Over 250 ancient coins, most of them believed to be native British, were unearthed by a member of the Bletchley Archaeological and Historical Society at the Roman site at Fenny Stratford on Sunday. Thirty-four of the coins are of Constantinian type, including a few silver ones. All the rest are barbarous copies of Roman coins. There are 209 which have been separated and also an unknown number in a solid clay-and-coin clod not separated at the time of writing. They have been taken to the Ashmolean Museum, Oxford, for positive identification.<br />The discovery, probably the biggest of its kind ever made in this district, was made by Mr. R.W. Griffiths, of 69 Napier Street, Bletchley, during the course of the Society's methodical excavation of the site. They were found in a cluster in the earth itself at a depth of 4 ft. 1 in. The only other article found in the same spot was a barbed arrowhead made of iron. It was found at the same time.""<br />N. Bucks. Times, 19 July 1962; SCMB, Oct. 1962<br />""On 9 July 1962 a hoard of fourth century coins was found during excavations in a fourth century building site which ran along and to the South of Watling Street adjacent to Magiovinium. The coins were probably originally contained in a bag as a metal clasp was found in conjunction with them. At the time of discovery the excavator (R.W. Griffiths) stated there were approximately 251 loose coins and a conglomerate of perhaps 400 more. The hoard was sent to the Ashmolean Museum for examination where an attempt was also made to separate the centrally corroded mass into its individual elements but without much success and a significant number of coins remained fused together. A summary report of the hoard's contents was sent to the excavators and the coins were lodged in the Buckinghamshire County Museum in Aylesbury where they remain today.<br />In 1984 the coins were again brought to the Ashmolean Museum for examination. At that time 306 pieces could be isolated and listed. The general condition of the coins was very poor - many were totally illegible and a significant number partially so. In the initial report on the hoard it was suggested that the coins may have been originally fused together as a result of fire which also caused the cup-shape form of some pieces, and the fact that in some cases the side of the coins seems almost to have melted away..<br />The interest of this hoard lies in the fact that it is composed almost entirely of ancient copies to which a few of the very common coins of 330 to 348 were added. There are no coins of Magnentius and Decentius nor are there any of the early post-reform FEL TEMP REPARATIO pieces of larger module and higher silver contents. This hoard consists of pieces of the lowest possible value and thus either the better quality pieces have been excluded or never came into the possession of the hoarder. The high percentage of Fel Temp copies to the exclusion of almost everything else is also unusual..<br />It seems unlikely that the hoard would have been buried before 354 to 355.""<br />Cathy E. King, in CHRBVII, BM Occas. Paper 59 (1987), 181-6 types, mints, wts., diams.<br />The 306 AE coins were catalogued according to chronological periods and mints. Rearranged according to emperors, they were:<br />Trier Lyons Siscia Uncertain Uncertain TOTAL<br />(irregular)<br />Constantine I 1 1<br />Constantine II, Caes. 1 1<br />Constantius II, Caes. 1 1 1 3<br />Constantinopolis 1 4 1 6<br />Urbs Roma 7 7<br />reign of Constantine I,<br />GLORIA EXERCITVS,<br />2 stand. 6 1 7<br />1 stand.(?) 1 3 4<br />Helena (after AD 337) 1 1<br />Constantine II, Aug. (?) 1 1<br />Constantius II, Aug. 1 1 2<br />Constans, Aug. 1 1<br />Constantius II,<br />or Constans, Aug. 1 1 123 125<br />uncertain 19 102 121<br />frag.s 26 26<br /><br />3 3 1 70 229 306<br />(b., F.H.)<br />(1 b.)<br />(Gloria, 2)<br />(F.H.)<br />(F.H.)<br />(1 b.)<br />(1 b.)<br />(1 b.)<br />(1 b.)<br />(124 b.)<br />(102 b.)<br />(229 b.)<br />The coins are in Bucks. County Museum, Aylesbury"" ******* Possibly fused together by fire. Only a proportion could be separated from the solid lump of c. 400 or more. The latest coins are FEL TEMP copies c. 11-6mm",51.99566,-0.7096,highest,PAS UK Finds,1/13/2015 11:57,36:12.2,12/21/2016 12:53,,"King, C.E., 1987    The Fenny Stratford Hoard (Bucks.)    London:
   Robertson, A.S., 2000    An Inventory of Romano-British Coin Hoards    London:   308-309 no. 1272"
49,IARCH-FBE268,PAS: Milton Keynes 49,,,hoard,,,1458,2006.0,2006.0,"1456 nummi to 355 and pottery. 2012 find of nummus of Valens, 364-78 thought not to be an addendum.Treasure numbers associated with this hoard: 2006 T631; 2012 T836<br />Other PAS records associated with this hoard: PAS-355605 ******* A single coin was found in September 2012 (2012 T836), it is of Valens, AD 364-78 (SECVRITAS REIPVBLICAE, Victory adv. L. holding wreath and palm, m.-m.: OF II//[], mint of Arles or Lyon). However, given it is considerably later than any of the coins in this sizable hoard it should probably be treated as an unrelated later stray loss. BM has a file on 2006T74, 36 general site find coins found not to be Treasure. 2012 T836 single coin not Treasure. TAR 2005-6, 1124; PATAR 2008, 546; NC 2009, 41. Found with the aid of a metal detector about 70cm below the field surface. The initial discovery of the coins was made in and around the remains of their plough damaged pottery container.",52.16578,-0.6441,highest,PAS UK Finds,1/13/2015 11:57,36:16.7,7/16/2015 8:23,,"British Museum, 2008    Treasure Annual"
